Date,SPY,IWM
11/17/2003,84.57,45.35
11/18/2003,83.69,44.85
11/19/2003,84.4,45.32
11/20/2003,83.64,45.01
11/21/2003,83.99,45.51
11/24/2003,85.1,46.55
11/25/2003,85.42,46.83
11/26/2003,85.73,47.08
11/28/2003,85.79,47.31
12/1/2003,86.72,47.92
12/2/2003,86.5,47.84
12/3/2003,86.36,46.98
12/4/2003,86.72,47.09
12/5/2003,86.11,46.51
12/8/2003,86.69,46.85
12/9/2003,86.03,46.06
12/10/2003,86.02,45.65
12/11/2003,86.98,46.92
12/12/2003,87.15,47.26
12/15/2003,86.72,46.15
12/16/2003,87.17,46.56
12/17/2003,87.44,46.55
12/18/2003,88.43,47.27
12/19/2003,88.18,47.12
12/22/2003,88.8,47.64
12/23/2003,88.85,47.91
12/24/2003,88.76,47.85
12/26/2003,88.83,48.02
12/29/2003,90.01,48.75
12/30/2003,90.03,48.87
12/31/2003,90.11,48.16
1/2/2004,90.07,48.68
1/5/2004,91.05,49.25
1/6/2004,91.14,49.18
1/7/2004,91.44,49.7
1/8/2004,91.81,50.08
1/9/2004,91.01,49.68
1/12/2004,91.68,50.61
1/13/2004,91.14,50.4
1/14/2004,91.91,50.66
1/15/2004,92.13,50.79
1/16/2004,92.5,51.07
1/20/2004,92.47,51.69
1/21/2004,93.2,51.62
1/22/2004,92.96,51.33
1/23/2004,92.66,51.6
1/26/2004,93.82,52.12
1/27/2004,92.86,51.47
1/28/2004,91.8,50.66
1/29/2004,91.89,50.18
1/30/2004,91.89,50.25
2/2/2004,92.29,50.38
2/3/2004,92.13,50.1
2/4/2004,91.38,48.86
2/5/2004,91.65,49.31
2/6/2004,92.67,50.56
2/9/2004,92.7,50.66
2/10/2004,93,51.27
2/11/2004,93.99,51.58
2/12/2004,93.65,51.23
